run,experiment,panel,dog_color_correct,dog_breed_correct,scene_correct,prop_present,action_correct,single_score,notes
1,structured,1,1,1,1,1,1,,
1,structured,2,1,1,1,0,0,,
1,structured,3,1,1,1,0,0,,
1,structured,4,0,0,1,0,1,,
1,baseline,1,1,0,1,0,1,,
1,baseline,2,0,0,1,0,0,,
1,baseline,3,0,0,1,0,0,,
1,baseline,4,0,0,1,0,0,,
2,structured,1,1,1,1,0,1,,
2,structured,2,1,1,1,0,0,,
2,structured,3,1,1,1,0,0,,
2,structured,4,1,1,1,0,1,,
2,baseline,1,0,0,1,0,1,,
2,baseline,2,0,0,1,0,0,,
2,baseline,3,0,0,1,0,0,,
2,baseline,4,0,0,1,0,0,,
3,structured,1,1,0,1,0,0,,
3,structured,2,1,1,1,1,1,,
3,structured,3,1,1,1,0,0,,
3,structured,4,1,1,1,0,1,,
3,baseline,1,0,0,1,0,0,,
3,baseline,2,0,0,1,0,0,,
3,baseline,3,0,0,1,0,0,,
3,baseline,4,0,0,1,0,0,,
4,structured,1,1,1,1,0,0,,
4,structured,2,1,1,1,1,0,,
4,structured,3,1,1,1,0,0,,
4,structured,4,1,1,1,1,1,,
4,baseline,1,0,0,1,0,0,,
4,baseline,2,0,0,1,0,0,,
4,baseline,3,0,0,1,0,0,,
4,baseline,4,0,0,1,0,0,,
5,structured,1,1,1,1,0,1,,
5,structured,2,1,1,1,1,0,,
5,structured,3,1,1,1,1,1,,
5,structured,4,1,1,1,0,0,,
5,baseline,1,0,0,1,0,0,,
5,baseline,2,0,0,1,0,0,,
5,baseline,3,0,0,1,0,0,,
5,baseline,4,0,0,1,0,0,,
